row_index,original_text,detected_entities,entity_types,confidence_scores
0,"2 Pant Rd, Dowlais, Merthyr Tydfil CF48 3SH, UK",PERSON:Pant Rd; LOCATION:Merthyr; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
1,"3-3A Lower High St, Merthyr Tydfil CF47 8EB, UK",LOCATION:Merthyr; DATE_TIME:8EB; LOCATION:UK,LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850
2,"Merthyr Tydfil CF47 8ER, UK",PERSON:Merthyr Tydfil; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
3,"Retail Park Swansea Rd, Merthyr Tydfil CF48 1HY, UK",LOCATION:Merthyr; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
4,"Tramroad Siding, Merthyr Tydfil CF47 0AP, United Kingdom",PERSON:Tramroad Siding; PERSON:Merthyr Tydfil; LOCATION:United Kingdom,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
5,"Rhydycar Business Park, The Orbit Business Centre, A4102, Merthyr Tydfil CF48 1DH, UK",LOCATION:Merthyr; LOCATION:UK; US_DRIVER_LICENSE:A4102,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
6,"9 Chestnut Way, Merthyr Tydfil CF47 9SB, UK",PERSON:Merthyr Tydfil; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
7,"7 Bryony Cl, Merthyr Tydfil CF47 0LL, UK",PERSON:Merthyr Tydfil; DATE_TIME:0LL; LOCATION:UK,PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850
8,"4 Brecon Rd, Merthyr Tydfil CF47 8NH, UK",LOCATION:Brecon Rd; LOCATION:Merthyr; DATE_TIME:8NH; LOCATION:UK,LOCATION; LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
9,"Cyfarthfa Retail Park Unit 5 CF48 1HY, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
10,"192 Cae'r Wern, Merthyr Tydfil CF48 1AB, UK",DATE_TIME:192 Cae'r Wern; PERSON:Merthyr Tydfil CF48 1AB; LOCATION:UK,DATE_TIME; PERSON; LOCATION,0.850; 0.850; 0.850
11,"58 Church St, Pen-y-Darren, Merthyr Tydfil CF47 9HR, UK",PERSON:Merthyr Tydfil; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
12,"Gurnos, Merthyr Tydfil CF47 9DT, UK",LOCATION:Gurnos; PERSON:Merthyr Tydfil; LOCATION:UK,LOCATION; PERSON; LOCATION,0.850; 0.850; 0.850
13,"Queen's Rd, Merthyr Tydfil CF47 0LU, UK",LOCATION:Merthyr; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
14,"Plymouth St, Merthyr Tydfil CF47 0TP, UK",LOCATION:Plymouth St; LOCATION:Merthyr; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
15,"38 Heol S O Davies, Merthyr Tydfil CF48 1DR, UK",LOCATION:Merthyr; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
16,"31 High St, Cefn-coed-y-cymmer, Merthyr Tydfil CF48 2PG, UK",PERSON:Merthyr Tydfil; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
17,"47 High St, Merthyr Tydfil CF47 8DL, UK",LOCATION:High St; DATE_TIME:8DL; LOCATION:UK,LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850
18,"20 Church St, Merthyr Tydfil CF47 0AY, UK",LOCATION:Merthyr; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
19,"7 Y Ganolfan, Dowlais, Merthyr Tydfil CF48 3LT, UK",LOCATION:Merthyr; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
20,"5 Queen St, Rhyl LL18 1RS, UK",PERSON:Queen St; LOCATION:Rhyl; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
21,"9 Castle St, Llangollen LL20 8PB, UK",LOCATION:Llangollen; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
22,"St Peter's Square, Ruthin LL15 1AB, UK",PERSON:St Peter's; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
23,"32-34 High St, Rhyl LL18 1ET, UK",LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
24,"28-30 Henllan St, Denbigh LL16 3PD, UK",PERSON:Henllan St; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
25,"The Square, St Asaph Rd, Trefnant, Denbigh LL16 5TY, UK",LOCATION:St Asaph Rd; PERSON:Trefnant; DATE_TIME:5TY; LOCATION:UK,LOCATION; PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
26,"Rhyl Rd, Denbigh LL16 5SU, UK",LOCATION:Rhyl Rd; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
27,"Sainsburys, Rhuddlan Rd, Rhuddlan, Rhyl LL18 2RG, United Kingdom",LOCATION:Rhuddlan; LOCATION:Rhyl; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
