template_id,category,template
0,Customer Service & Support,"Hi, I need help with my account. My name is &&forename&& &&surname&& and my email is &&email&&. I'm calling from &&location&&."
1,Customer Service & Support,"Hello, I'm having an issue with my order. I'm &&forename&& &&surname&&, email &&email&&, shipping address is &&location&&."
2,Customer Service & Support,"Good morning, I need to update my profile. My current name is &&forename&& &&surname&&, email &&email&&, and I live at &&location&&."
3,Customer Service & Support,Hi there! I'm &&forename&& &&surname&& and I need assistance. You can reach me at &&email&& or find me at &&location&&.
4,Customer Service & Support,"Hello, I'm experiencing a technical problem. My details: &&forename&& &&surname&&, &&email&&, located at &&location&&."
5,Customer Service & Support,"Hi, I need to report a billing issue. I'm &&forename&& &&surname&&, my contact email is &&email&&, billing address: &&location&&."
6,Customer Service & Support,"Good afternoon, I have a question about my subscription. Name: &&forename&& &&surname&&, email: &&email&&, address: &&location&&."
7,Customer Service & Support,"Hello, I need help resetting my password. I'm &&forename&& &&surname&&, registered email: &&email&&, from &&location&&."
8,Customer Service & Support,"Hi, I want to cancel my service. My account details: &&forename&& &&surname&&, &&email&&, service address: &&location&&."
9,Customer Service & Support,"Good morning, I need to change my delivery address. I'm &&forename&& &&surname&&, email &&email&&, new address: &&location&&."
10,Customer Service & Support,"Hello, I'm locked out of my account. User: &&forename&& &&surname&&, email: &&email&&, registered from &&location&&."
11,Customer Service & Support,"Hi, I need a refund for my recent purchase. Customer: &&forename&& &&surname&&, contact: &&email&&, billing address: &&location&&."
12,Customer Service & Support,"Good day, I have a complaint to file. My name is &&forename&& &&surname&&, email &&email&&, incident location: &&location&&."
13,Customer Service & Support,"Hello, I need technical support urgently. I'm &&forename&& &&surname&&, you can reach me at &&email&&, I'm based at &&location&&."
14,Customer Service & Support,"Hi, I want to upgrade my plan. Account holder: &&forename&& &&surname&&, email: &&email&&, service location: &&location&&."
15,Customer Service & Support,"Good morning, I need help with installation. Customer: &&forename&& &&surname&&, contact: &&email&&, install address: &&location&&."
16,Customer Service & Support,"Hello, I'm having trouble logging in. My credentials: &&forename&& &&surname&&, &&email&&, account registered to &&location&&."
17,Customer Service & Support,"Hi, I need to update my payment method. Name: &&forename&& &&surname&&, email: &&email&&, billing address: &&location&&."
18,Customer Service & Support,"Good afternoon, I have feedback about your service. I'm &&forename&& &&surname&&, email &&email&&, service area: &&location&&."
19,Customer Service & Support,"Hello, I need help with app functionality. User: &&forename&& &&surname&&, contact: &&email&&, using from &&location&&."
20,Account Management,"I'd like to create a new account. My details are: &&forename&& &&surname&&, &&email&&, and I'm located at &&location&&."
21,Account Management,"Please update my account information. Current: &&forename&& &&surname&&, email: &&email&&, address: &&location&&."
