formatted_address,name,place_id,types,price_level,res$results$geometry$location$lat,res$results$geometry$location$lng,res$results$opening_hours$open_now
"2 Pant Rd, Dowlais, Merthyr Tydfil CF48 3SH, UK",PayPoint,ChIJRUNzG-E6bkgReNCn2HAL3OM,atm|finance|point_of_interest|establishment,,51.7656004,-3.3571445,
"3-3A Lower High St, Merthyr Tydfil CF47 8EB, UK",ATM (Petrogas - Merthyr Tydfil),ChIJXQ_MCqA7bkgREpdKT8erItQ,atm|finance|point_of_interest|establishment,,51.7419368,-3.3759245,
"Merthyr Tydfil CF47 8ER, UK",Santander ATM,ChIJdYCA06A7bkgRNLqkPEc7KEI,atm|finance|point_of_interest|establishment,,51.7455447,-3.3790715,
"Retail Park Swansea Rd, Merthyr Tydfil CF48 1HY, UK",ATM (Matalan - Merthyr),ChIJ03bLj7o7bkgRsIx1IkxsS4k,atm|finance|point_of_interest|establishment,1,51.7498152,-3.3919238,TRUE
"Tramroad Siding, Merthyr Tydfil CF47 0AP, United Kingdom",ATM (Tesco),ChIJP2cDeqc7bkgROV7MlUEkZ7A,atm|finance|point_of_interest|establishment,,51.7480605,-3.3773584,
"Rhydycar Business Park, The Orbit Business Centre, A4102, Merthyr Tydfil CF48 1DH, UK",ATM,ChIJ9fV8IJ87bkgRWoeldgjiMe4,atm|finance|point_of_interest|establishment,,51.7377957,-3.3802869,
"9 Chestnut Way, Merthyr Tydfil CF47 9SB, UK",ATM,ChIJ6SsmXVU6bkgRArpXc026Kg4,atm|finance|point_of_interest|establishment,,51.762563,-3.3803241,
"7 Bryony Cl, Merthyr Tydfil CF47 0LL, UK",ATM,ChIJo9eBjQ07bkgR5hlE3Yd9lt0,atm|finance|point_of_interest|establishment,,51.7445748,-3.364195,
"4 Brecon Rd, Merthyr Tydfil CF47 8NH, UK",ATM,ChIJvZtvNqY7bkgReKvi2oGVqaQ,atm|finance|point_of_interest|establishment,,51.7500127,-3.3808406,
"Cyfarthfa Retail Park Unit 5 CF48 1HY, United Kingdom",ATM (Wilkinson),ChIJUateHnE7bkgR6RVT8lUvQQ4,atm|finance|point_of_interest|establishment,,51.750009,-3.3927346,
"192 Cae'r Wern, Merthyr Tydfil CF48 1AB, UK",ATM,ChIJ4e80l6M7bkgRBxPfW6oygiI,atm|finance|point_of_interest|establishment,,51.7442143,-3.384814,
"58 Church St, Pen-y-Darren, Merthyr Tydfil CF47 9HR, UK",ATM,ChIJTXGHTQM7bkgRBoBAsbUr7n4,atm|finance|point_of_interest|establishment,,51.7575903,-3.3647342,
"Gurnos, Merthyr Tydfil CF47 9DT, UK",ATM Prince Charles Hospital,ChIJ-00jglM6bkgRuGRRyxMvBIE,atm|finance|point_of_interest|establishment,,51.7641255,-3.3853323,TRUE
"Queen's Rd, Merthyr Tydfil CF47 0LU, UK",ATM,ChIJXSGkwgs7bkgR7B6HHYSGMoY,atm|finance|point_of_interest|establishment,,51.74522,-3.37155,
"Plymouth St, Merthyr Tydfil CF47 0TP, UK",ATM,ChIJ7-wSR7I7bkgRV1w3wk069NM,atm|finance|point_of_interest|establishment,,51.741298,-3.376938,
"38 Heol S O Davies, Merthyr Tydfil CF48 1DR, UK",ATM (Lifestyle),ChIJuz8SqaU7bkgRTcTImiCv0fA,atm|finance|point_of_interest|establishment,,51.7485925,-3.3859082,
"31 High St, Cefn-coed-y-cymmer, Merthyr Tydfil CF48 2PG, UK",ATM,ChIJi9ktv7Q7bkgRk6EEwoVwU-4,atm|finance|point_of_interest|establishment,,51.7598993,-3.398551,
"47 High St, Merthyr Tydfil CF47 8DL, UK",Barclays Bank,ChIJV682xKA7bkgRx0DQiAp1S64,bank|atm|finance|point_of_interest|establishment,,51.7448957,-3.3782798,TRUE
"20 Church St, Merthyr Tydfil CF47 0AY, UK",Lloyds Cash Points,ChIJK2QnR6c7bkgREpgdBH9jX4Q,atm|finance|point_of_interest|establishment,,51.746684,-3.3767525,
"7 Y Ganolfan, Dowlais, Merthyr Tydfil CF48 3LT, UK",ATM,ChIJqfGWtR87bkgRz_Ezv8vnD34,atm|finance|point_of_interest|establishment,,51.7607162,-3.3557426,
"5 Queen St, Rhyl LL18 1RS, UK",NatWest ATM,ChIJKxlgrj8oZUgR4yIPpuSaDPc,atm|finance|point_of_interest|establishment,,53.3202739,-3.4912808,TRUE
"9 Castle St, Llangollen LL20 8PB, UK",ATM Barclays Bank,ChIJEf5lYNC1ekgRub6ezdXlg04,atm|finance|point_of_interest|establishment,,52.9702365,-3.1701326,TRUE
"St Peter's Square, Ruthin LL15 1AB, UK",HSBC Bank,ChIJATJaSBYzZUgRbiRjFzDeYHk,bank|atm|finance|point_of_interest|establishment,,53.1145227,-3.3102306,TRUE
"32-34 High St, Rhyl LL18 1ET, UK",Post Office ATM,ChIJ8xty_z4oZUgRE7ETO_pTcF8,atm|finance|point_of_interest|establishment,2,53.3211639,-3.4907146,TRUE
"28-30 Henllan St, Denbigh LL16 3PD, UK",ATM (Premier),ChIJGa3B7j0uZUgRMl61zaWuPxE,atm|finance|point_of_interest|establishment,,53.1841752,-3.4247456,TRUE
"The Square, St Asaph Rd, Trefnant, Denbigh LL16 5TY, UK",ATM,ChIJFy02iZEuZUgR45hRf1nUPd8,atm|finance|point_of_interest|establishment,,53.2248144,-3.4219142,
"Rhyl Rd, Denbigh LL16 5SU, UK",ATM (Shell Castle View),ChIJ56AC_nIuZUgRSDqSlQvzMBE,atm|finance|point_of_interest|establishment,,53.1933532,-3.4081213,
"Sainsburys, Rhuddlan Rd, Rhuddlan, Rhyl LL18 2RG, United Kingdom",Sainsbury's Bank ATM,ChIJWU3DflMoZUgR0xmyL4WkiX8,atm|finance|point_of_interest|establishment,2,53.3028668,-3.4678314,
